,ra,dec,name,major_axis,minor_axis,pa
0,264.42886,-27.81932,K 6-4,26.0869565217,26.0869565217,0.0
1,268.34908,-29.82931,JaSt 93,26.0869565217,26.0869565217,0.0
2,274.702,-32.7987,SB 1,26.0869565217,26.0869565217,0.0
3,267.60123,-29.42186,M 3-43,26.0869565217,26.0869565217,0.0
4,263.89753,-27.40138,Al 2-J,26.0869565217,26.0869565217,0.0
5,272.128,-31.6099,H 2-40,26.0869565217,26.0869565217,0.0
6,250.97409,-18.9533,PC 12,26.0869565217,26.0869565217,0.0
7,267.54154,-29.31816,JaSt 69,26.0869565217,26.0869565217,0.0
8,262.34732,-26.43455,H 1-16,26.0869565217,26.0869565217,0.0
9,268.83557,-29.96004,Bl 3-10,26.0869565217,26.0869565217,0.0
10,268.44009,-29.72954,M 2-19,26.0869565217,26.0869565217,0.0
11,271.18369,-31.04671,Wray 16-363,26.0869565217,26.0869565217,0.0
12,264.91371,-27.78942,JaSt 19,26.0869565217,26.0869565217,0.0
13,271.26123,-30.9715,M 2-28,26.0869565217,26.0869565217,0.0
15,260.09152,-24.86451,Terz N 41,26.0869565217,26.0869565217,0.0
16,269.43069,-30.04164,M 3-47,26.0869565217,26.0869565217,0.0
17,268.60571,-29.60244,M 2-20,26.0869565217,26.0869565217,0.0
18,269.58057,-30.01092,M 3-19,26.0869565217,26.0869565217,0.0
19,265.60461,-27.92665,JaSt 36,26.0869565217,26.0869565217,0.0
20,264.88007,-27.46299,JaSt 17,26.0869565217,26.0869565217,0.0
21,269.81494,-30.04643,KFL 1,26.0869565217,26.0869565217,0.0
22,268.35434,-29.28576,Al 2-Q,26.0869565217,26.0869565217,0.0
23,268.49,-29.3377,JaSt 96,26.0869565217,26.0869565217,0.0
24,269.10132,-29.63511,H 2-32,26.0869565217,26.0869565217,0.0
25,267.79794,-28.9406,JaSt 77,26.0869565217,26.0869565217,0.0
26,268.15021,-29.111,Bl 3-15,26.0869565217,26.0869565217,0.0
27,269.53986,-29.73891,M 2-21,26.0869565217,26.0869565217,0.0
28,270.58017,-30.24038,M 3-22,26.0869565217,26.0869565217,0.0
29,262.35812,-25.81851,H 2-11,26.0869565217,26.0869565217,0.0
30,263.72797,-26.59914,M 4-5,26.0869565217,26.0869565217,0.0
31,267.69483,-28.74311,JaSt 74,26.0869565217,26.0869565217,0.0
32,274.40497,-31.94635,M 2-35,26.0869565217,26.0869565217,0.0
33,265.635,-27.5544,JaSt 38,26.0869565217,26.0869565217,0.0
34,267.59651,-28.55288,JaSt 71,26.0869565217,26.0869565217,0.0
35,268.45715,-28.98646,Sa 3-90,26.0869565217,26.0869565217,0.0
36,274.65601,-31.91262,H 2-46,26.0869565217,26.0869565217,0.0
37,265.84733,-27.56811,JaSt 44,26.0869565217,26.0869565217,0.0
38,271.7756,-30.57138,M 3-23,26.0869565217,26.0869565217,0.0
39,267.853,-28.5946,JaSt 78,26.0869565217,26.0869565217,0.0
40,269.01151,-29.18784,Bl 3-13,26.0869565217,26.0869565217,0.0
41,265.11417,-27.01722,K 1-4,26.0869565217,26.0869565217,0.0
42,273.55908,-31.18586,SB 4,26.0869565217,26.0869565217,0.0
43,268.71692,-28.81537,Sa 3-92,26.0869565217,26.0869565217,0.0
44,266.44559,-27.51192,JaSt 56,26.0869565217,26.0869565217,0.0
45,265.05341,-26.73927,Hen 2-262,26.0869565217,26.0869565217,0.0
46,268.397,-28.4808,JaSt 95,26.0869565217,26.0869565217,0.0
47,270.15665,-29.36395,H 1-47,26.0869565217,26.0869565217,0.0
48,272.81421,-30.63056,SB 5,26.0869565217,26.0869565217,0.0
49,268.44667,-28.455,Bl M,26.0869565217,26.0869565217,0.0
50,268.27747,-28.3031,JaSt 89,26.0869565217,26.0869565217,0.0
51,262.15674,-24.85183,H 1-15,26.0869565217,26.0869565217,0.0
52,270.61,-29.4182,ShWi 2-1,26.0869565217,26.0869565217,0.0
53,268.03638,-28.03808,K 6-17,26.0869565217,26.0869565217,0.0
54,263.84217,-25.71307,K 5-5,26.0869565217,26.0869565217,0.0
55,274.05112,-30.86882,SwSt 1,26.0869565217,26.0869565217,0.0
56,265.82062,-26.73821,K 6-10,26.0869565217,26.0869565217,0.0
