id,name,ra,dec,major_axis,minor_axis,pa
0,GN 04.10.9,63.39166666666666,10.212222222222222,900.0,900.0,0.0
# 1,GN 04.12.8,63.88333333333332,8.891944444444444,900.0,900.0,0.0
# 2,Unidentified RN 1,76.4241,-3.7207,5000.0,3750.0,30.0
# 3,Unidentified RN 2,76.4615,-7.0008,6600.0,4000.0,60.0
# 4,Unidentified RN 3,78.625,-8.199722222222222,4000.0,4000.0,0.0
# 5,Unidentified RN 4,83.957,-5.4279,7000.0,7000.0,0.0
6,IC 420 ,83.05833333333332,-4.519166666666667,1000.0,1000.0,0.0
# 7,[B77] 120,84.09166666666665,-6.450833333333334,5200.0,4400.0,155.0
# 10,IC 430,84.60416666666666,-7.080555555555556,2000.0,2000.0,0.0
# 12,GGD 7 IR Stellar Group,85.2,-8.099722222222223,2000.0,1200.0,165.0
# 13,Unidentified RN 5,85.3625,-10.311388888888889,300.0,300.0,0.0
# 16,GN 07.26.4,111.8904,-51.1017,950.0,250.0,20.0
# 17,GN 07.30.9,112.95,-50.8,900.0,200.0,30.0
# 18,GN 07.41.0,114.0124,-50.21277777777778,520.0,200.0,45.0
# 19,PGCC G262.49-13.38,114.5608,-49.9142,800.0,400.0,50.0
# 20,GN 13.54.9,209.5673,-40.1644,3000.0,2000.0,150.0
# 22,GN 15.50.6,237.7694,-25.75111111111111,800.0,800.0,0.0
# 23,Ced 125b,238.40416666666664,-25.326944444444443,850.0,850.0,0.0
# 24,Ced 125c,238.475,-24.532777777777778,700.0,700.0,0.0
# 25,GN 15.55.8,239.7125,-26.113611111111112,1200.0,1200.0,0.0
# 27,GN 16.09.1,243.2281,-19.6061,4000.0,1600.0,134.0
# 28,GN 16.16.2,244.7833333333333,-20.2175,700.0,700.0,0.0
# 29,GN 16.17.2,245.0756,-20.11833333333333,1500.0,1000.0,120.0
# 30,DG 145,248.6807,-15.804722222222225,2800.0,800.0,18.0
# 34,GN 17.16.4,259.7208333333333,6.084722222222222,280.0,280.0,0.0
# 35,GN 17.48.1.01,267.68749999999994,-5.333055555555555,90.0,90.0,0.0
# 36,Unidentified RN 6,268.37916666666666,-5.618611111111112,300.0,300.0,0.0
# 37,GN 19.37.1,295.22,-34.95,1500.0,1500.0,0.0
# 38,DOBASHI 6071 ,297.0841,-81.05,2600.0,2600.0,0.0
# 39,GN 19.42.7,296.3795,-12.6176,950.0,950.0,0.0
# 40,GN 19.42.8,296.386,-12.0387,300.0,185.0,74.0
# 41,Unidentified RN 7,302.82916666666665,-0.8227777777777777,450.0,450.0,0.0
