name,alt_name,type,ra,dec,radius,pa,ba
"AM1"," ","GCl",58.76150000000000,-49.61500000000000,0.0125000,0,1
"Eridanus"," ","GCl",66.18620000000000,-21.18640000000000,0.0150000,0,1
"Pal14"," ","GCl",242.7524000000000,14.96200000000000,0.0300000,0,1
"Pal3"," ","GCl",151.3816000000000,0.07140000000000001,0.0180556,0,1
"Pal4"," ","GCl",172.3174000000000,28.97270000000000,0.0200000,0,1
"Pal5"," ","GCl",229.0205000000000,-0.1202000000000000,0.0641667,0,1
"Pal13"," ","GCl",346.6850000000000,12.77100000000000,0.0200000,0,1
"Fornax"," ","Dwrf",39.99708333333332,-34.449166666666656,0.553,41,0.7
"Sculptor"," ","Dwrf",15.039166666666665,-33.70916666666666,0.377,99,0.68
"LMC","","Dwrf",82.5,-69.0,7.0,184.9,0.81
"SMC","","Dwrf",13.3,-73.0,2.8,34.0,0.75
"Jones-Emberson"," ","PN",119.4633,53.4220,0.06,0,1
