#EXPID	Flag	comments
#Flags: 1=possibly saturated; 2=clouds; 3=other source
346343 expfactor=0.208  seeing=1.400
346344 expfactor=0.246  seeing=1.235
346345 expfactor=0.188  seeing=1.449
346346 expfactor=0.217  seeing=1.230
346347 expfactor=0.226  seeing=1.269
346348 expfactor=0.237  seeing=1.288
346349 expfactor=0.247  seeing=1.150
346350 expfactor=0.260  seeing=1.202
346351 expfactor=0.199  seeing=1.471
346352 expfactor=0.179  seeing=1.446
346353 expfactor=0.246  seeing=1.235
346354 expfactor=0.261  seeing=1.225
346355 expfactor=0.255  seeing=1.188
346356 expfactor=0.261  seeing=1.225
346650 expfactor=0.158  seeing=1.986
346651 expfactor=0.191  seeing=1.827
346652 expfactor=0.195  seeing=1.788
346653 expfactor=0.229  seeing=1.590
346654 expfactor=0.223  seeing=1.633
346655 expfactor=0.211  seeing=1.592
346656 expfactor=0.225  seeing=1.645
346657 expfactor=0.180  seeing=1.605
346658 expfactor=0.176  seeing=1.793
346659 expfactor=0.165  seeing=1.931
346660 expfactor=0.183  seeing=1.721
346661 expfactor=0.178  seeing=1.701
346662	1
346663	1
346664	1
346665	1
346666 expfactor=0.233  seeing=1.403
346667 expfactor=0.227  seeing=1.438
346669 expfactor=0.211  seeing=1.540
346670 expfactor=0.209  seeing=1.553
346671 expfactor=0.213  seeing=1.513
346672 expfactor=0.240  seeing=1.406
346673 expfactor=0.243  seeing=1.438
346674 expfactor=0.204  seeing=1.619
346675 expfactor=0.282  seeing=1.451
346676 expfactor=0.205  seeing=1.578
346677 expfactor=0.168  seeing=1.774
346678 expfactor=0.140  seeing=2.016
346679 expfactor=0.153  seeing=1.925
346680 expfactor=0.190  seeing=1.722
346681 expfactor=0.198  seeing=1.578
346682 expfactor=0.215  seeing=1.581
346683 expfactor=0.185  seeing=1.720
346684 expfactor=0.189  seeing=1.665
346685 expfactor=0.187  seeing=1.615
346686 expfactor=0.237  seeing=1.472
346687 expfactor=0.200  seeing=1.605
346688 expfactor=0.210  seeing=1.602
346689 expfactor=0.189  seeing=1.769
346690 expfactor=0.246  seeing=1.535
346691 expfactor=0.210  seeing=1.575
346692 expfactor=0.243  seeing=1.416
346693 expfactor=0.239  seeing=1.491
346694 expfactor=0.229  seeing=1.505
346695 expfactor=0.241  seeing=1.535
346696 expfactor=0.223  seeing=1.539
346697 expfactor=0.292  seeing=1.375
346698 expfactor=0.272  seeing=1.500
346699 expfactor=0.255  seeing=1.545
346700 expfactor=0.250  seeing=1.588
346701 expfactor=0.268  seeing=1.536
346702 expfactor=0.277  seeing=1.552
346706 expfactor=0.282  seeing=1.409
346748 expfactor=0.273  seeing=1.470
346750 expfactor=0.293  seeing=1.496
346752 expfactor=0.300  seeing=1.548
346754 expfactor=0.154  seeing=1.436
346755 expfactor=0.158  seeing=1.592
346765 expfactor=0.207  seeing=1.475

347009 expfactor=0.299  seeing=1.877
347014 expfactor=0.290  seeing=1.745
347028 expfactor=0.202  seeing=1.955
347029 expfactor=0.271  seeing=1.570
347031 expfactor=0.266  seeing=1.556
347032 expfactor=0.292  seeing=1.533
347416 expfactor=0.272  seeing=1.247
347636 expfactor=0.217  seeing=1.337
347645 expfactor=0.140  seeing=1.228
347646 expfactor=0.262  seeing=1.316
347648 expfactor=0.199  seeing=1.288
347649 expfactor=0.131  seeing=1.310
347650 expfactor=0.271  seeing=1.343
347657 expfactor=0.279  seeing=1.588
347658 expfactor=0.148  seeing=1.722
347659 expfactor=0.140  seeing=1.821
347661 expfactor=0.247  seeing=2.368
347663 expfactor=0.290  seeing=1.903
347676 expfactor=0.270  seeing=1.143
347677 expfactor=0.289  seeing=1.085
347678 expfactor=0.148  seeing=1.043
347679 expfactor=0.269  seeing=0.985
347680 expfactor=0.261  seeing=1.025
347697 expfactor=0.132  seeing=1.085
347733 expfactor=0.253  seeing=1.130
347734 expfactor=0.210  seeing=1.151
347736	1
347737	1
347738	1
347739	1
347740	1
347741	1
347744	1
347745 expfactor=0.297  seeing=0.993
347746 expfactor=0.260  seeing=1.046
347747	1
347748	1
347749 expfactor=0.164  seeing=1.095
347750	1
347751	1
347752	1
347753	1
347754	1
347755	1
347756	1
347757	1
347758	1
347759	1
347760	1
347761	1
347762	1
347763	1
347764	1
347765	1
347766	1
347767	1
347768	1
347769	1
347770	1
347771	1
347772	1
347773	1
347774	1
347775	1
347776	1
347777	1
347778	1
347779	1
347780	1
347781	1
347782	1
347783	1
347784	1
347785	1
347786	1
347787	1
347788	1
347789	1
347790	1
347919 expfactor=0.269  seeing=1.478
348295	3	DECAL lights on top ring turned on

392368 expfactor=0.251  seeing=2.006
392369 expfactor=0.252  seeing=2.064
392401 expfactor=0.293  seeing=2.004
392405 expfactor=0.261  seeing=2.025
393655 expfactor=0.158  seeing=1.393
393656 expfactor=0.291  seeing=1.421
393657 expfactor=0.001  seeing=1.444
393658 expfactor=0.080  seeing=1.361
393666 expfactor=0.014  seeing=1.424
393667 expfactor=0.002  seeing=1.654
393668 expfactor=0.071  seeing=1.505
393672 expfactor=0.297  seeing=1.471
393673 expfactor=0.207  seeing=1.511
393674 expfactor=0.261  seeing=1.277
393676 expfactor=0.001  seeing=1.211
393677 expfactor=0.000  seeing=1.443
393678 expfactor=0.000  seeing=1.240
393679	2
393680	2
393681	2
393682	2
393683	2
393684	2
393685	2
393686  2
393687  2
393688 expfactor=0.000  seeing=1.298
393689 expfactor=0.058  seeing=0.646
396101	3
396131	3	active optics failure
396477 expfactor=0.295  seeing=1.228
396478 expfactor=0.290  seeing=1.194

425094 expfactor=0.175  seeing=2.500
425095 expfactor=0.242  seeing=2.176
425096 expfactor=0.215  seeing=2.765
425098 expfactor=0.123  seeing=2.900
425099 expfactor=0.204  seeing=2.368
425102 expfactor=0.236  seeing=2.203
425103 expfactor=0.277  seeing=2.026
425106 expfactor=0.197  seeing=2.427
425112 expfactor=0.257  seeing=2.765
425328 expfactor=0.621  seeing=2.823
425342 expfactor=0.271  seeing=1.872
425347 expfactor=0.231  seeing=2.060
425616	3	guiding failed
425617 expfactor=0.007  seeing=1.510
425618 expfactor=0.186  seeing=1.370
425619	3	telescope moved, double stars
425651 expfactor=0.001  seeing=1.163
426072 expfactor=0.015  seeing=3.112

431170 expfactor=0.039  seeing=1.391
431171 expfactor=0.024  seeing=1.140
431515 expfactor=0.286  seeing=2.195
431516 expfactor=0.216  seeing=2.552
432201 expfactor=0.175  seeing=0.830
432202 expfactor=0.218  seeing=0.868
432203 expfactor=0.105  seeing=0.838
432204 expfactor=0.015  seeing=1.084
432205 expfactor=0.276  seeing=0.799
432212 expfactor=0.132  seeing=0.924
432213 expfactor=0.048  seeing=0.949
432214 expfactor=0.027  seeing=0.920
432215 expfactor=0.275  seeing=0.958
432216 expfactor=0.048  seeing=0.972
432752 expfactor=0.270  seeing=1.097
432753 expfactor=0.028  seeing=1.379
432754 expfactor=0.133  seeing=1.106
432755 expfactor=0.111  seeing=1.063
432756 expfactor=0.014  seeing=1.167
432757 expfactor=0.026  seeing=1.145
432758 expfactor=0.046  seeing=1.198
432759 expfactor=0.019  seeing=0.986
432760 expfactor=0.047  seeing=1.086
432761 expfactor=0.022  seeing=1.102
432762 expfactor=0.007  seeing=1.331
432763 expfactor=0.000  seeing=1.472
432764 expfactor=0.006  seeing=1.124
432765 expfactor=0.000  seeing=1.383
432766 expfactor=0.001  seeing=1.254
432767 expfactor=0.001  seeing=1.176
432768 expfactor=0.000  seeing=1.283
432771 expfactor=0.000  seeing=1.475
432772 expfactor=0.000  seeing=1.434
432773 expfactor=0.000  seeing=1.405
432774 expfactor=0.000  seeing=1.301
432775 expfactor=0.000  seeing=1.146
432776 expfactor=0.000  seeing=1.211
432777 expfactor=0.001  seeing=1.288
432778 expfactor=0.064  seeing=1.102
432779 expfactor=0.008  seeing=1.271
432780 expfactor=0.039  seeing=1.118
432781 expfactor=0.003  seeing=1.126
432782 expfactor=0.001  seeing=1.104
432783 expfactor=0.001  seeing=1.227
432784 expfactor=0.174  seeing=0.981
432786 expfactor=0.211  seeing=0.880
432843 expfactor=0.207  seeing=0.888
432844 expfactor=0.068  seeing=1.221
432845 expfactor=0.000  seeing=1.313
432847 expfactor=0.083  seeing=0.942
432849 expfactor=0.072  seeing=1.296
432850 expfactor=0.019  seeing=1.112
432851 expfactor=0.002  seeing=1.340
432852 expfactor=0.062  seeing=1.286
432853 expfactor=0.003  seeing=1.448
432854 expfactor=0.144  seeing=1.049
432855 expfactor=0.270  seeing=1.177
432856 expfactor=0.268  seeing=0.462
432857 expfactor=0.046  seeing=1.351
432858 expfactor=0.008  seeing=1.284
432859 expfactor=0.012  seeing=0.986
433305 expfactor=0.282  seeing=1.210

# Non-DECaLS exposures
454540 HMAP, not a science exposure but a T&E calibration
458441 Isolated controller glitch, visible in the raw, effects one backplane


483634 expfactor=0.168  seeing=1.339
483636 expfactor=0.250  seeing=1.484
483692 expfactor=0.203  seeing=1.531
483719 expfactor=0.298  seeing=2.026
483789 expfactor=0.235  seeing=1.624
483790 expfactor=0.178  seeing=1.810
483793 expfactor=0.213  seeing=1.820
483795 expfactor=0.249  seeing=1.903
483797 expfactor=0.259  seeing=1.955
483798 expfactor=0.227  seeing=1.950
483802 expfactor=0.284  seeing=1.869
483803 expfactor=0.227  seeing=1.968
483806 expfactor=0.191  seeing=2.168
483808 expfactor=0.193  seeing=2.100
483810 expfactor=0.185  seeing=2.140
483813 expfactor=0.225  seeing=1.768
488218 expfactor=0.054  seeing=1.811
488219 expfactor=0.195  seeing=1.303
488220 expfactor=0.150  seeing=1.272
488221 expfactor=0.110  seeing=1.331
488222 expfactor=0.127  seeing=1.331
488223 expfactor=0.232  seeing=1.298
488224 expfactor=0.249  seeing=1.198
488227 expfactor=0.197  seeing=1.341
488228 expfactor=0.179  seeing=1.345
488229 expfactor=0.202  seeing=1.346
488230 expfactor=0.171  seeing=1.643
488231 expfactor=0.219  seeing=1.543
488234 expfactor=0.229  seeing=1.512
488241 expfactor=0.292  seeing=1.906
488243 expfactor=0.254  seeing=1.855
488244 expfactor=0.103  seeing=1.856
488245 expfactor=0.150  seeing=2.038
488247 expfactor=0.190  seeing=2.144
488248 expfactor=0.243  seeing=1.935
488250 expfactor=0.223  seeing=2.023
488251 expfactor=0.151  seeing=2.089
488252 expfactor=0.171  seeing=2.158
488253 expfactor=0.186  seeing=2.037
488254 expfactor=0.151  seeing=2.115
488255 expfactor=0.218  seeing=1.849
488256 expfactor=0.102  seeing=1.927
488257 expfactor=0.030  seeing=2.123
488258 expfactor=0.098  seeing=1.738
488259 expfactor=0.037  seeing=1.717
488260 expfactor=0.089  seeing=1.550
488261 expfactor=0.179  seeing=1.524
488262 expfactor=0.044  seeing=1.525
488263 expfactor=0.204  seeing=1.503
488264 expfactor=0.047  seeing=1.378
488265 expfactor=0.025  seeing=1.636
488266 expfactor=0.043  seeing=1.929
488267 expfactor=0.059  seeing=1.725
488268 expfactor=0.070  seeing=1.914
488269 expfactor=0.010  seeing=2.054
488270 expfactor=0.099  seeing=1.939
488271 expfactor=0.027  seeing=1.864
488272 expfactor=0.019  seeing=1.844
488273 expfactor=0.004  seeing=2.010
488274 expfactor=0.008  seeing=1.697
496913 expfactor=0.183  seeing=2.855
496914 expfactor=0.231  seeing=2.686
496915 expfactor=0.222  seeing=2.795
496916 expfactor=0.223  seeing=2.813
496917 expfactor=0.324  seeing=3.115
496918 expfactor=0.334  seeing=3.077
496919 expfactor=0.367  seeing=2.956
496920 expfactor=0.304  seeing=3.129
496921 expfactor=0.428  seeing=2.881
496922 expfactor=0.388  seeing=2.860
496923 expfactor=0.334  seeing=2.929
496924 expfactor=0.334  seeing=2.988
496925 expfactor=0.344  seeing=3.044
496926 expfactor=0.412  seeing=2.923
496927 expfactor=0.385  seeing=3.054
496928 expfactor=0.396  seeing=2.975
496929 expfactor=0.368  seeing=3.196
496930 expfactor=0.390  seeing=3.066
497082 expfactor=0.269  seeing=1.229
509116 expfactor=0.181  seeing=2.251
509117 expfactor=0.148  seeing=2.610
509120 expfactor=0.224  seeing=2.070
509121 expfactor=0.093  seeing=3.042
509122 expfactor=0.232  seeing=2.594
509124 expfactor=0.264  seeing=1.920
509127 expfactor=0.228  seeing=2.002
509129 expfactor=0.185  seeing=2.816
509130 expfactor=0.377  seeing=2.684
509132 expfactor=0.102  seeing=3.314
509133 expfactor=0.255  seeing=3.056
509134 expfactor=0.085  seeing=3.628
509135 expfactor=0.262  seeing=3.114
509136 expfactor=0.086  seeing=3.607
509137 expfactor=0.222  seeing=3.056
509138 expfactor=0.124  seeing=2.986
509139 expfactor=0.200  seeing=2.507
509146 expfactor=0.285  seeing=2.159
509153 expfactor=0.389  seeing=2.664
509154 expfactor=0.163  seeing=2.807
509155 expfactor=0.181  seeing=2.763
509156 expfactor=0.316  seeing=3.028
509157 expfactor=0.198  seeing=3.590
509158 expfactor=0.094  seeing=3.607
509159 expfactor=0.082  seeing=3.743
509160 expfactor=0.247  seeing=3.336
509161 expfactor=0.157  seeing=3.824
509162 expfactor=0.124  seeing=3.256
509163 expfactor=0.105  seeing=3.508
509164 expfactor=0.224  seeing=3.464
509165 expfactor=0.328  seeing=3.095
509166 expfactor=0.166  seeing=3.017
509167 expfactor=0.090  seeing=3.654
509168 expfactor=0.250  seeing=3.288
